2025/01/03 14:06:15 [error] 9#9: *115 open() "/var/www/html/styles.css" failed (2: No such file or directory), client: 172.22.0.1, server: localhost, request: "GET /styles.css HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/friends.php"
2025/01/03 14:06:19 [error] 9#9: *120 open() "/var/www/html/styles.css" failed (2: No such file or directory), client: 172.22.0.1, server: localhost, request: "GET /styles.css HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/logout.php"
2025/01/03 14:07:34 [error] 9#9: *123 open() "/var/www/html/styles.css" failed (2: No such file or directory), client: 172.22.0.1, server: localhost, request: "GET /styles.css HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/friends.php"
2025/01/03 14:07:37 [error] 9#9: *129 open() "/var/www/html/styles.css" failed (2: No such file or directory), client: 172.22.0.1, server: localhost, request: "GET /styles.css HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/logout.php"
2025/01/03 14:07:56 [error] 9#9: *132 open() "/var/www/html/styles.css" failed (2: No such file or directory), client: 172.22.0.1, server: localhost, request: "GET /styles.css HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/friends.php"
2025/01/03 14:07:57 [error] 9#9: *137 open() "/var/www/html/styles.css" failed (2: No such file or directory), client: 172.22.0.1, server: localhost, request: "GET /styles.css HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/logout.php"
2025/01/03 14:13:02 [error] 9#9: *150 open() "/var/www/html/styles.css" failed (2: No such file or directory), client: 172.22.0.1, server: localhost, request: "GET /styles.css HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/register.php"
2025/01/03 14:14:34 [error] 9#9: *156 open() "/var/www/html/styles.css" failed (2: No such file or directory), client: 172.22.0.1, server: localhost, request: "GET /styles.css HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/friends.php"
2025/01/03 14:14:35 [error] 9#9: *160 open() "/var/www/html/styles.css" failed (2: No such file or directory), client: 172.22.0.1, server: localhost, request: "GET /styles.css HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/logout.php"
2025/01/03 14:30:22 [error] 9#9: *190 open() "/var/www/html/styles.css" failed (2: No such file or directory), client: 172.22.0.1, server: localhost, request: "GET /styles.css HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/friends.php"
2025/01/03 14:30:24 [error] 9#9: *195 open() "/var/www/html/styles.css" failed (2: No such file or directory), client: 172.22.0.1, server: localhost, request: "GET /styles.css HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/logout.php"
2025/01/03 14:30:44 [error] 9#9: *194 open() "/var/www/html/styles.css" failed (2: No such file or directory), client: 172.22.0.1, server: localhost, request: "GET /styles.css HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/friends.php"
2025/01/03 14:30:45 [error] 9#9: *203 open() "/var/www/html/styles.css" failed (2: No such file or directory), client: 172.22.0.1, server: localhost, request: "GET /styles.css HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/logout.php"
2025/01/03 14:32:41 [error] 9#9: *208 open() "/var/www/html/styles.css" failed (2: No such file or directory), client: 172.22.0.1, server: localhost, request: "GET /styles.css HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/friends.php"
2025/01/03 14:32:42 [error] 9#9: *213 open() "/var/www/html/styles.css" failed (2: No such file or directory), client: 172.22.0.1, server: localhost, request: "GET /styles.css HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/logout.php"
2025/01/03 14:43:07 [error] 9#9: *237 open() "/var/www/html/styles.css" failed (2: No such file or directory), client: 172.22.0.1, server: localhost, request: "GET /styles.css HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/friends.php"
2025/01/03 14:43:10 [error] 9#9: *241 open() "/var/www/html/styles.css" failed (2: No such file or directory), client: 172.22.0.1, server: localhost, request: "GET /styles.css HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/logout.php"
2025/01/03 14:45:53 [error] 9#9: *244 open() "/var/www/html/styles.css" failed (2: No such file or directory), client: 172.22.0.1, server: localhost, request: "GET /styles.css HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/register.php"
2025/01/03 14:45:55 [error] 9#9: *246 open() "/var/www/html/styles.css" failed (2: No such file or directory), client: 172.22.0.1, server: localhost, request: "GET /styles.css HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/register.php"
2025/01/03 14:46:23 [error] 9#9: *248 open() "/var/www/html/styles.css" failed (2: No such file or directory), client: 172.22.0.1, server: localhost, request: "GET /styles.css HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/register.php"
2025/01/03 14:46:52 [error] 9#9: *252 open() "/var/www/html/styles.css" failed (2: No such file or directory), client: 172.22.0.1, server: localhost, request: "GET /styles.css HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/register.php"
2025/01/03 14:48:23 [error] 9#9: *254 open() "/var/www/html/styles.css" failed (2: No such file or directory), client: 172.22.0.1, server: localhost, request: "GET /styles.css HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/register.php"
2025/01/03 14:48:52 [error] 9#9: *258 open() "/var/www/html/styles.css" failed (2: No such file or directory), client: 172.22.0.1, server: localhost, request: "GET /styles.css HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/register.php"
2025/01/03 14:49:14 [error] 9#9: *263 open() "/var/www/html/styles.css" failed (2: No such file or directory), client: 172.22.0.1, server: localhost, request: "GET /styles.css HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/register.php"
2025/01/03 14:49:32 [error] 9#9: *267 open() "/var/www/html/styles.css" failed (2: No such file or directory), client: 172.22.0.1, server: localhost, request: "GET /styles.css HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/register.php"
2025/01/03 14:51:55 [error] 9#9: *269 open() "/var/www/html/styles.css" failed (2: No such file or directory), client: 172.22.0.1, server: localhost, request: "GET /styles.css HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/friends.php"
2025/01/03 14:51:56 [error] 9#9: *274 open() "/var/www/html/styles.css" failed (2: No such file or directory), client: 172.22.0.1, server: localhost, request: "GET /styles.css HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/logout.php"
2025/01/03 14:52:20 [error] 9#9: *277 open() "/var/www/html/styles.css" failed (2: No such file or directory), client: 172.22.0.1, server: localhost, request: "GET /styles.css HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/logout.php"
2025/01/03 14:52:50 [error] 9#9: *279 open() "/var/www/html/styles.css" failed (2: No such file or directory), client: 172.22.0.1, server: localhost, request: "GET /styles.css HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/logout.php"
2025/01/03 14:52:58 [error] 9#9: *279 open() "/var/www/html/styles.css" failed (2: No such file or directory), client: 172.22.0.1, server: localhost, request: "GET /styles.css HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/logout.php"
2025/01/03 14:59:46 [error] 9#9: *298 open() "/var/www/html/styles.css" failed (2: No such file or directory), client: 172.22.0.1, server: localhost, request: "GET /styles.css HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/friends.php"
2025/01/03 15:34:55 [error] 9#9: *310 open() "/var/www/html/styles.css" failed (2: No such file or directory), client: 172.22.0.1, server: localhost, request: "GET /styles.css HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/friends.php"
2025/01/03 15:35:14 [error] 9#9: *317 open() "/var/www/html/styles.css" failed (2: No such file or directory), client: 172.22.0.1, server: localhost, request: "GET /styles.css HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/friends.php"
2025/01/03 15:59:14 [error] 9#9: *354 open() "/var/www/html/favicon.ico" failed (2: No such file or directory), client: 172.22.0.1, server: localhost, request: "GET /favicon.ico HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/friends.php"
2025/01/03 17:07:50 [error] 9#9: *361 open() "/var/www/html/styles.css" failed (2: No such file or directory), client: 172.22.0.1, server: localhost, request: "GET /styles.css HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/settings.php"
2025/01/03 17:07:53 [error] 9#9: *361 open() "/var/www/html/styles.css" failed (2: No such file or directory), client: 172.22.0.1, server: localhost, request: "GET /styles.css HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/settings.php"
2025/01/03 17:07:58 [error] 9#9: *366 open() "/var/www/html/styles.css" failed (2: No such file or directory), client: 172.22.0.1, server: localhost, request: "GET /styles.css HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/register.php"
